owner,balance
5hufVL9ADFexe1NynYXcirv5SaR8gpFM1Hk8iD2oyQh1,75000000
5xmSyXyo28NvuYPFdwKDqRHHySZpcUPxDgh2Aj8BrRDG,420000000
Fijt5dT4oyzoecZQfhtgiXvcNo5ok7zrDGcBHzhMokkK,1000000
Fb21txx7TbeCxu5NLdjXbaBLPjc2yWRmRsJeZboBZChP,116686908296
DMkBmuom8ZpM5f6eTM9wqNeHxGGp9KcbEZ2BAsRcZp5W,75000000
JE6Csox12XVCzqDz2kt2PCR8qnfiXcwTHSt2SvJ1Jkri,3810756
D6Cg5kTuS4b7ynGFufGN2iZ4qRrywxH8jNu8GbP3uos4,420000000
3VoSWiHWjm6TAKRGkoMpT87eD6eWYczAYLayCpDxQwbn,15569521805
GzXUb91FWBxTNHQHgetmTVHZiX3xkz3XMctCZumkPDvL,75000000
33NkCFMLbdd63r5DbLZab4t2LHQUASNAWs7SCLbNF5ec,620000000000
CFQh4HRV7y6JbQiNGfddMq42cb6wBJ64LQpjYPDmchVM,1000000
H8k2y6zuyU2c7Gc2Z41EY7sPNoSSgkNbDbXSBDCBhTYG,75000000
3ajg4u9qM49Ktrxv5Sp85ZQPpjq3KVpGB7jiE9v2noi6,75000000
HiLEHhhXNjtQnun4PQJmBrJ5Rs9uLF28w3F512SdZL88,1000000
9V7XbAbfQUYm8bVJXExEraZXVASag2n6sUEi36kCkQz9,75000000
FNcjzanBaN8W7YJ7uUM9TbFuAV2RckpNHRQ19aEBYFs2,75000000
2fvMhVpQDUbi8EfuywURHTms8n8GXWFrzmFLUkbXjCAJ,29243595
3ZZAbjyPVhGaambx9tjwmgov8nRHQvuGZ32XBibssSnK,420000000
Gi8ZVxeYFrVZYrxGPkY39VZpZPHZEcTCadfX9rt5JQfU,75000000
DYDeto676UJ96wQuw7RQccqm661JffGfsbVS6UAP5Q8i,420000000
8J7NuVvpBZybzmzP41CcAqtz81F63u8iSJmnfpNVKECv,75000000
3kgHMAYMSDnHaFLCPQBtD8aoSn2xcEkWyyf8qWE2jsjg,420000000
5bH1hCz81T5ajU4Z6jVBS2aeTuTxT3cnPNECeA9gKKco,75000000
8KaPSYiRtbpSCeVHVUt7GKVxxxHJjXbAadTzraYH4P8o,75000000
FMmgwJ95evH1cCWkAjhkGha8ETFt2Ytd4igX1B92s2nv,260995902
C6mS7atoSDLY7zG3kAUncpXneYGGK99oyKzHtSLnMcGG,35497876
9ovDSDxHeneM9dUh6BFYfu63DYXNKioz4pgECZKhu57h,75000000
2okdbtAKsPxT2rsLq9w71uGNMJ48TzoBxssVUGUnBh7j,75000000
7MTGZLj2hmguVd8Ceph8T1NNQMA22heQPuCuFSajdZ8a,75000000
