owner,balance
7rUq9jZaJoPJnaJNwvJrQjxkkStCcWowhcwRBRQWp2X3,1184829635
AFCQZg9y23MfCocnkCY2c3tPGMq4UTT2p8s6sLFR3bgT,1188684001
CvdbeVRbXJio4iJ5jZc6aEPPmxC9EhN2KXLbPSW4zuFs,1186346958
6jYbYHRJDBu7jeA9fsxAuHgXXFodTMUD6arXQzoAZzQw,7207535
3jmUCHTLtEAHFHZJaqXJFk7MnpvmyxB5LuU36r6GxNVc,1188569197
CjGhTEfm1yiQSVN4ypYZ9TpF1zGkWyF35NKpAogHF8u7,317292
2ae3kniwCBo36StH8jQeFZsU8nQ3fdyxAuJJduSjgNSP,93100
9GKoBPfTkPbf7Gb9sneAW6VqPYpT9R1rqd1gub49kxD8,1185492489
42qPmSmz6ZRL6EcvLXR7FXXEAc3E7LznUKRUtbVEYWsr,16933036
31p6aD438PCPaSofbtRCPZR2AegjE1AX8ePHUunaTunE,1
52qvZE9nRDieNApwCVUMaP5NF8oxvRN5wqYJwxAWJodn,7078435919
2myeJMVKqPJeV9BiW2nitB1NgdXAqUZu2AkMTGWwA7ks,1184033854
4coXqdgTG3kP8AFf1fvYm55YQ6TfiChcBx3jXn53hT7R,1
3Vxr6hUXMyVpdTJcxzzHXRwe95xmbcuoFPSYP2BicMZJ,5814272
4k86WpyR1wfLHu3bDQrYFh5ZHsqFjxrp8qKpT1BtuxsP,1187142714
4H5U42iS97qumn1ofH2JoYw1gw7EfE65kPL4pTMCEdZW,1188810518
CFKPo1TMz2Zok1tRztxSuwPBc2qMz6FsJH4oE7iD8xR9,202804
5q1QjDbhMjzFDqicD25kLBYWuAFHfGABeXcMz9PahxJc,1188520311
GtZVGuK2QFJ2XVzAbpa7HBCxpmYW2rkjPdeCQDDaDKo2,1186754427
96Xcmwt2uVdUaGHtQTmfs2EbvycgdJJYgLU3U1JVQ5F8,1184960247
H4yEMsQSmXWmhZd1a7XXfmhTTT8MrFKiAYqfdGWB1gmt,1183539349
93MjyJTva8WtdUSgPnbB5cua5ic79QfWbgNza2ixDViy,1189032423
C2H4vNCok7Gp6kAttggDq3VwJaNkjZ8wTZ8rYDC6tjBE,1187003952
8quVxKzc21GybehhMKwhiuuVks9eg1carGoBUuqpZJ1a,299540
5j2RrpryyS6F96Eh1zaQxhEGprrsXJtC2CPAqVM8EAYz,3
8PG8VkkW5vrjnr1gV9pitw4yKzAPxgAe1mYACt42t5bB,5601
GAQzPecAGe4J333DoKE2wUmYDDhipkCd2UEGiPEr1BXq,16763
8NXUd4Vtxi8QQ4WEijxABZeJLjWHRN1eRac38dQigFtK,1184960204
2dt8B4icS2zmBf63tqeQQJCqDrtZn3xJAvPWqCetqHdu,1
B6AgfFV451cdBCVYqBUyAzphsxxak6UDpj4NignLC1kT,1187638813
ENLoV9XF55hSQib5LEWM4GzcjXzgApuS8QSxNrhf7Pf6,1084019230
39YYMMM4g9Z6MZ3YoZMj8m6a575kPJkdTuHZFMzhAwmL,1185970349
AovyUE5obk6L7TnbxkKWpSyh2uLrmAtRNid7y7UZws7G,206102516
8DpUuZUD8CpU8Tf9x7LsPzJNgdEaPdwQQTH211z95g3m,310808
Ct28ciBizr7PQoyA4Yu3GU5BX1C7Urj1RnaoqAQwM9wq,93100
6t5KeiYgEodR5Sda8Q3zQfLfWBEsuacoNsg1JoWxLipx,342017
GCb56NUhe88b2S2NjmUGG4x5stDM8RGcHsebbmW2kF6C,4723444
66JHxYSMi4D7thm5vXuRXusefHr5GAkdPXfKtTsHPPF3,1160228374
Aa62n87kqARuuTYS7qLryq7hyPPHxqG5d5akyYap5mgz,482898888
J6RDaGTozsuswaKysDh9D5y4zsxmnAbqqr48NNekGaxA,1154868271
D23XTEBNnffGjLf2qm7GQzzCncD9Zsx2bqnrhLPTQwQi,1148962939
7fMRwnGjNjew8f8gtrxihqBpHkRmeNimiuYcqpdCtkDb,1150053314
EMWkYqANSan5dgsay5DeJV6GB2nu8NGwDqgQ2r4z6Z9b,6
CiUJNZYaKy8JJkR7xHymd3ju5ACRGxi8QTtN4aGJmjS7,1153341772
GHpAHfbzx3gcLMPPxXvdsWjHGvSKMmKyfLriuXGuTinJ,1152949870
FYEvdKBUHbpmfayE5SZbnNoUCft6qXdY4AkTAVPe6CkG,1150361823
3N7x1wLpqPKZCFMm7qhx4hybXFcq18Ldk8NvD3VAGAy6,525778917
DRW8m1x4YFaM2Z29GdDSkCUpBkri9ic4tS6pnnpfCVjs,6616192
FSpWPZgPEbw2Y1XBumBKtK7Vu1Ce3ouReofzGgCThWyX,532755091
BcTCNZ4FBzrspcjcHvdNyJ5TrEtwk37VKDDTiioiMucL,1229279371
7c7DET48Zdt17dFoevtk4DNpuWp9cFz3YZVSEWf682VJ,15136523
5WAgcbrnHwdgeb9J22LAhmThwJSA5TdhH4cx4XDXEsoa,122
EyRkrjjA4JqR5M1NnDJod58NRLShaUZci3pyK5hYL1xr,1176579483
6DVPwJ4o3KmikpVY1iNe4x1URrxdoF1756tovAchQJf1,961777
J9tEKwRkgALbQLk4sbSbwE1HjrKgxt2ptXn5pieCWac7,2251474
HqNFjkuhBuMtSWk2jNUg8nakozEGBq46iRQUJKtSpZav,1182375111
BAbvgfLf4ATVSQgumCRaqxWNeFuustJ6Md7Qh8zDwuzz,1
BwJifz8FKeCDjQJAYK1ms6Kcg6Btuqdk358TPm428mJd,1162549525
E5zGAAdf5yp4LvSpY59D3KWAu9C1WpJ8RJ8X5ACg8XWd,18859300
GUeUkKMkRrwwXbuSFvq3MTPMBMQm2fp5QZGqoGKTBj8q,1188545137
7BLN9WgCo1dUvHLuj1nPsY47C1XMDeonNTJ5UMLeaN6b,1189838818
GJjjkfj8Qz6cXzbrsJA6Mc9sqVGqWuRiNsHzdcXvqAyV,1187082474
5UyabLNPrLpw4K7PhKL7rJVY86ZR6D31oWXXQe4nteYz,1166258389
5H3vMRAkSxbgK5hJDh9fSHdDnAtEuELnfCvHZVm6kVLo,1177759614
AZRxW8AeyFMv1zS44pLaMam1EqxNPDcgRc2VYeGRAsoq,1019726281
CTynsnUbdHoVsvaqzA2BTyqP2CsB4k4m7cASydzQZgp3,601007
4c5JRS7TU3hTzLEtCbihwjqqLcdk216FuQW8hmeG3W5y,344093
4JCr8icNzVtQAeF41Uz2NpgGsAWX4vEM9oar3jDmPrhn,673981
CP6tpYUzXWWCacDVr3ktruDaW8zGJx2yz1zMZ7yTbUF,96650
4QkdbmE4QQgJqmZHAeNq1GN5JBMapbtCWcYjTSz9W2fm,1146726603
CmjVHrZaFMa6WVQGuzit77Ean8o1C1tfUsgp5XD7oMHt,1143420561
EWG1GhfRDCGSr7pcZhxGDiWGgaitiiwfPyLaiVqigLw5,1144991788
5LN1XmAKfsxEKecKSLCF7wpoUD8cHsBibwbM22pHMzKU,301179
592A5WbUo2mF5YHsJjzx16E5c6yw3AUNoSHrRnT2v2is,5148988
C6yttEZoEJHBjpQwQ7s2DwcCEVQEpMMLCBTuNhRDURcp,1144472878
3yPC7s6Jmjh2L9MSCxdos92D2tKCqH6LFQxodx11nQ7F,833123
AgpQSWUL3a5m6xNECtyzGkVKyrKoTToJm2rAaWfP2kAz,1152218969
4BXHv2CbrFZArEuqMtuSJFrA4TJkJsYPQypHVYRpZ7XB,4258
CCF8UkF4t3NyxSuV4rr78RXY3TkQUBH3Kx9EhWJQa31u,180788
9V2xcga2hk4dR5YyKYTAMyPYnbkx7XTXTEhCbFBmuARM,1866446
2E65eUa1RzvtGZViR2ouStmdEF71WSw8eM3J3UavsSg3,1158703950
CJgTQhDCh6yVZKUMai1vkJwHkdb6vaJWV1HXsWu6LYMg,754421424
D8z5HtQvoPHkZJcdUUsDcDGXXg9bpN72wsVs14kRZ6cK,1165546308
AR58r1MVMBjSAKVpaFnA9fAYk8BjBrZzRuU6sZJcr2wK,1157328396
upwnydqTzWp8nYiAqsmgHfTTFE9NAxSFFauN6v67TBW,1160726950
Tqv1mTQv8KD4qFPyjobbFnYD7Av2NpNCc96fEYdFAbw,1161535255
GBUan9DGD731xkLrR4JVA1KiLpAXS4MY2HgQik1SXXF6,284570
F3SPqcVjDCeR58qbVC67GNAnt5vM7nyKEpVUe7KTdekx,1161147256
6iigWoU4zmuFhg3wWAx1CuNWY4J4ftZPSCYdj7GALnYU,1547847
6bVDt9vaBNJ5AMtRHeVhypf8uEG1XqzTyyUgaX2VCtCC,1261547994
2YCaL7h29yhTVCPAFj2dNLaPox5sDgdNPCXT7Bv82pYH,1147552415
AeDnLrstKpiZBvh8u8ENd73oHjkNENPJskuxaMYfJgZf,1
5SVY59vbTFwMXKqb5KKDNzRbTfw8W66r9zy7RKZV5Sh8,1140461131
B2yUCm7FaaN61kgtAMekSuFk6mP16zeQZQJzHXmcXkPR,471945
FHSLVoE5W5cY11u6D7EFn2uWWHqadC3UmsetT8Gnq7bd,1135552663
AjGdwPJyFvz6aart7ZAGQuZUmYWZAYn3Q6AQeoViobz7,236428923
Fyqd8rjnXxYGyZHH5LygfhHxpft2Jd5W2ybto74MSrhb,279588
HQ8iqmn8CtHJu5qe2b2SUzJCvFNf7mwJyEdAtWh5TNNn,892925
4RSoaPBotkbuZ2ZdDC5mFeWYQokCVPbdSqDUiELx7SFs,1145441947
EwsQLHwdkmTE7DB3Noh6iYj4d6Mu5RyfFm4RK56DvZpg,1145974948
DfEBEDefi1jc5Vk2eVD5UV55gLnd3khtojUPC7syMvpJ,1150346729
4Uq7caaoiMv75joDnR2YS3bJLVgdGAiZc398kjypKDf2,1161160670
7a4kxVm53S8Lv797yv1og4MkKmoUqm5WcWEXVKF25HuJ,53488
7c8W9zSJgtPji4mJ9gisL9MhRDmG4e6aZ6YMCr7GH4xo,4
7BB7Xf43gV43spJFv5Da996CuRcw6bskNdTnGpN3GSbj,1122654
ANQYqXGuMA8gRFMnzvm2USNNEeAwozNdyVn5p9JMi2L2,108008929
4SPoTDAj3uvB7waE2wbQnWYsEEQYxDrb5izdNkEykVyB,1168033447
7hA5VfvcGyqMGqUYcLDL8Je7XnYEDvqye5LaUu8hi3QG,1
4RSvwLRm4JY7DmCaciDxHdcH28WLX5YAFJi261WtE7A2,2
H9LNZjHdWyYhoNiy4gE28gdq1iTFWnhwzXyX7RhfZb9R,1165713530
D9MpMwPBQfvuguEjZ2MehFMvBPKHufrpTcHZUArVVKJY,1
2ShoDUAZhMeUGptbwg8wQXrUeDzR9gkkq6JNY7drSrs5,1162729627
2RYfA2zrEm8TsQGaFGtuXQ9b5z5vGpaDmSdGtz4pMmy5,1165773604
39aa3zbPB273PiMN1UhPvCjp78TCXRcw7DTmNUyk16AB,7083658
3Zb86jm8gK1DpiTPLmvXJNdHxpxUhDccVdoWwfEvmbJR,1166391978
GjmiEE5MuKRuRnbLBrmw1nSnt9tvHv2RLFdsDEY18SUm,1
3JDARue6LBtBugJbtgxVhte3shCNtWsQ5cZQmxiXHppq,728832
8oAwS5WaxU4KUd3sW9z4m5jxrRg88JsQ5x9C23DqvgE7,1164781757
ABNkJSW5JzMaB96WYQEJY3TSRKzeGa7eNT2csXcUqvAK,3772009
97HHHCPwE1WLpThWmqePdQjwy2uyuDZVCixKGNTSadwf,71820494
4xiCzWFcX1frvSUivh4PkPF97r7F8D9FVPgfmAZLraeR,1165514941
CiGTJqmAPb9d25yCsX8oU2NdhJ1CvjzCq96RwShMydFH,63203700
2nK1cheCE9HxU5ffdedQx2ZnvxGsksLhxWGaRiwENv5S,1
B3HD16LeVL9TQstDKsf1tEQac731zCjDFv23RTvwSZHj,1717642
ExWTEpYqjD9UmahfGJQtNAmzsQfm5dQnsyA7BoZ5ibMb,13249439
