owner,NAMASTE,Sensei
7M4ihTduWciBykzMrrWDefX9gaFG5UmnEW5NGTsnDcX7,1,0
ACp8wu7djR9zNgY7kwJtuRUZQtjTX8BvmRzYRFFi84vu,1,1
FoMBKn7YN52YrA3vV7sMn9VCAsAw4nMWBYc6q6HKtYgA,1,0
7Rp51HCQBf3TFivfqMk65pAKbtogwrUpEAtfN3f8Ciz2,1,2
pNybTr6rzsoPYpfVsZhTyRFHnM85M3oFi42geBfuua5,1,2
5kL5mzA89ruX6hyizwBtQGS55iFajyvMXEwJDyfUU6nD,2,0
8SbUxqaRxJq9mA3CNLYGDLfUYs7ugYZaebkX5gsf3Buy,1,2
9bU1jJgopw9eGYuiFP3j3YtjzaKvgvWm3GSa1w5gB365,1,0
H722CxJw4ym1mCtvmeyRWW4UuNsi1fmjypPasMtzd2DH,1,0
9hpuVz4DRxcDpEFcwRrL8jbVErLhmRqKeVoYFoCwDa9i,1,2
DuRP9FggXcVcoNLvwCtD9EA3LVk8p6qvtLyNiLBrAS97,4,14
9YNzgxpvK3gY8hJ9J29FUMYht5GwBqvsxbupRL5Jp4eF,1,1
98i9bAFB39YGKEAFdCrSUp3KJL5gA1gDzQ5ZRq8UkZwg,1,0
7YVv7VLzpppeeFBQyQXMxiQ7FxpQbRq2ChgYUEmDZ3q7,1,1
EHZYUcnZG7nomaUpmHLAYW3XTNJME27j61WhXJdGqq2a,1,2
xvDGmFrXL5CCdo5Vr1fb4tUKfSqzUKgpPb3nrH2gzLW,1,2
AWocXdA5Bdmcbd3RFQYEJpeY5GX9ea1SwLjDcEV7Mw9P,3,5
BRneNDE8G3U48vzbZz8nqWsmbj1gaPYrt8q5fzWGfDsg,1,3
3R2pTUiZGVB8qKniW7NrPfsgkerembbp1Zxeh3DG9Tf3,1,0
BxD7E7Nau9173SyqJqt6iMX5MAjRksWG88WfRgc3WcEU,1,0
9jY69amvu42wSdrKPdzPPiJjfoMB5nxaZbU4KV95rS8u,1,0
2v8i882A3f5tk7Uz312XgtFUgSHnpYjvPzN2JQgir9J8,1,2
3bAGPYdNGdM2XhSuCJGvUu7nsyVqL566YuAcD1GtKua2,2,6
TopozN6tRbeghtDFZALdy5THQpWG8GysPtBUqs8YaxV,1,0
ErKoYy8smCgxLx8jKeCJjUh3V8Sxr6BhPeBpHwXa1c6c,1,3
Ein28FYxSeaaz2qTrGcPKnaWuXEpfkSukr95mdN4fzWU,1,2
9SVRqdheCn5x5GncSQJtvaWQ6iCTEm2P4Urv5nUd4Ao4,1,2
6VAq6qwcC6A7QxU7QXL6d5Y7t6WfmaGqQ4bpKwm3FwCY,2,4
CygxJqf8RcAbnoQJmmR3VmExEDYWe8gc7Q1LF3fTRHZj,6,1
5n7GWDEBEqcLUAvsmwp87KBcbusBNMiJFBpFKRhwi7wR,1,1
EG3rvyrbnGrJFbeFC29uES9Wm3RDDkYatSnP94NARLg2,1,0
4rU7bnXeuSrmr3d7Yt8T5cyB7tvfBEwkjtZKX31qDvAZ,1,0
9wAojhMgL2vj2oWiJzNUpTCZRUJKNgdxBmTKaSeF972Q,3,6
8vbMUanTxC7fJK2z6wSf58VjWZyooVKDPKX3m47Ajnt2,1,0
7d6Eh26D6J6pHjbxi8pypob3VaZnKvSyafwXXgvYPiEj,1,1
G56AMGHdKpqEcq5G9heyTL7VKJRrHc5jARcUEAhAJAjk,5,0
8J2TZMfAWqrtszMRzwqJsSDob73KsYhMw1eWBWiPQr7T,1,1
H1hW7CgqDL8bgRgBRbubKJgoqDn3hQLXpSsUtXtMdxoH,1,0
4A4VGzJXViNsXpJQKHQrUqYvF4TbNR9ND7LWAkT2fgcD,1,2
GnBxxBuxrBMqbthvAYPiz8m8KvS6huoynA5fPi1S33kQ,1,3
btLAh7CWB8dH9Lw3DqoS7dS9MygmMFvYEME5XxtQVKQ,1,1
ArY7vmAJdntM6QSskBtRfWe8TmuMY8e4oiuJYDAaHSLd,2,8
2pGMf9k8bvQ3msxikzx6bhfgL7siuqWz5HaDuw7HXnP3,1,5
Ch4tdxq5MLiEAVfKfFyBjVw4sja1JmuyF1epUTuuBUiY,1,0
5qtJ4LuwQBKmP9KYkqHBbMFeVk9LXzyGJAtVGjRJMrwC,1,2
9VjqFt62WT7JxMxMWHqtWJcdr3Zu2qfm5vtNyyVZgm29,1,1
6AMM3Fug5wdofziufwAkF63LP2GfkoaqsKKeiEtMqtW5,1,2
vqaLnVspfYL3X9X55jKb3W9iMMyagjagEn7i1LhfTzX,1,2
8tg1ncYcGSUdXr9bP8CtBEbmGthvZNgRaxbvpRprXtjD,1,0
3TokiGkwekhqVy1cD2HRTWLa8MB2YQsg7mepsowME7St,5,8
9vJUzv3PxcvvRCvBST5DmNUXGvsnPay3Ridx8bWLUbVi,1,2
5Cgvhy142dmjNFXKaYV7aa2rgpZ8nCEoeeT1XMhEBmy4,1,3
5yCN7Y2nDY9WZb5pJaniC7NcPGPPqS3ZSopLzGwtnh45,1,2
BwMEEmp4apPdeiDBQepeVtWPuVZszXV9ztgQGHj9Duxs,1,2
7SxNpYBvPkmsRg8oo2yR5gzNRuWBzxsEwQywpe8eXjom,1,2
8NAXLwBHHSoL2QRfeXirawUb6An3DCLfqf4ewCsyKCYG,1,2
21x1sVSN49zbYoustbNqyZ9N9fi4BbayLNcz9mGbFgRy,1,1
QPi7qvRey1jk9XDrS5shA7MxwhExqhrnBHY1YeETUtc,1,2
8sFmZeZ3sDpNex3kJiF5z3XE59PgNDoP6eXwm97JCAxc,1,0
DaXmJ45qSABmrFWejf8TU2rx6587jCYHskSpYnmK3VYV,8,16
F3s5Rki8ZQJHN7BkcS1d2XScn7jmXrSp6qocQpX3RfBo,1,2
6xjpTvg3S1mirvMrRTjnQmyqDpM2M5BqeHFBg1cSnMsT,1,0
DPubcbBRjBa5ddR3HbwyCqt5ZAr4ZNP1MNJHMT9T21ox,1,1
FiKdXiy9PV2jmHbb5sxTSfrhiGFZggHqdhWmRvXRGhvQ,1,1
DyvxkHPTM8Q9VuhJRnTPv8K8PvL7m2dNs9BbEzkJDGjp,1,1
FWEo8KgNKQYNit9vGEoFjWEWV1ssTziCyvYHGc29JAWp,1,1
3qj1LFLKbA4FSnVHvaGe1o2Ei71NDXmqD8AsA8DTMznC,1,2
FwWv4zwLCBuzaUBP94zp7G5VyLDp4mdPz93ktv2xRDJD,1,1
FotBwdzVsAb29ccgYqJtssUNBjo26AbqGBpQTtypEcq1,1,3
3YyPrfJYPw4g325segMqAojVzoCeXbPkFQ1Y6F4hHra6,1,0
67pUPD8ggjHjGiMEEkiKmQmt4HRTL2eZDjorAQmnMPCt,4,2
ERT599aaQ3Ktakxbp5T9yLryY8FrR2W4vtoAq8zVwGRa,1,0
A48hpRZm6492woQnbjijQNFXdsME9o8AVynQqNhV3kJa,1,0
7T3VnF2DnB3D8cYJDWMHYLAyYBBfapHb85hGvtFx7A7s,4,0
CGLo46wgwTGiBj2eagYMETDpwgEoWYnVXjLFWbZVRzur,1,0
N5QXCmRjQaBLR5RjMeTziSaH2ZR852tAzMSmVjptJ3M,1,0
Am2R2bLH8VLgh8i8nxfm4g6vfxRiJxvqzmbGJLFqWvWH,1,0
3MuEbMP11MPV8ju7kYCyA1ssYx39Gdue8QHujqLnqq6g,1,2
BqwMvoR2ktaQcWDMsUMeFyes4UEE5yWJaxn6kBVjPpBH,1,2
3imtPCBVrjg5aRL5DLLfM6h5v2RjBqNnFtBbzVe75br9,1,1
ATLtvDsjxQc18ApESTVFNYHGRDyBL6THYTfbEHePqavP,1,0
GrFp7bP4E1gbfMGACBXZNU74p43QvyKQqck47D3Hk47K,1,1
H543DeDjwpvLd8KQNooDRUqQVpYipMBtjsLpN9Y6ienM,1,1
CxFpakobJ6WV9LTJPgtZpJqz3y1xVgJL8aH7GYh1sDdH,1,0
Hkx4F168hestca3h99fks6KHLVgfUZ6NNgBCXaemSuEU,1,2
D4FsQXcnJrGSKZuoJudnYNNHQajhARTALEsJ2C6fP3E9,1,2
Fid7VBzNLGRLbeBWJR2CAP4GnVCxmZmURobkQiPw8nXr,1,0
GnFAPVn3jPuW1jm4EjXQYenjfGe9ZmFz6NusDB1gHECB,1,4
H4bcao6ZV8AN18z79EQisNLk7qUt6JKqy1ygEzEoZkXK,5,9
fXaDzzeEZaBWdQLtN6vkti9rgt5QuSufwnyAhB1cSiL,1,0
4AtNt84JunsrTnpTkcsTzqEE7AyMsLmsPEUhits4mezv,1,2
2Lg9NRwdhBXnTuwUfk9oaUqp7mJZbFbzyBY5tsXGpTZs,1,3
GBeVRDzw5aBGCJxgvTX5M1j5q7KHMSteXWhPmyUsDidP,1,2
H1op7jRGPnFVRSVRP3kPQJWipFa57L9WvywembJZUMNf,1,0
ENSzcgf9xmFkw2nm9eJZJheAbzv6iWgqqUFo7gcX6YHo,1,2
GQTevBHbLo2SGe9y487ZSpVKDgxffix7GY2ZJxuuPo6G,1,2
CQDEueW9BJFH6yFRVpp4veKJkD7SNhefALoBjnEwAYmj,1,2
C6PiACVoEHBPGQk8ArS2rKhruqA49iHvntCEVHzYm1Lv,1,0
ARipcVwRNPp2D2JmxrPwDV6pR1CyfczCp4TAQSUMWN3Z,1,0
2F4cBYMg1WXeBvTFoWa3Ec2Vp2WMCecP1jfqoEncWpkK,1,0
7Di3k6wzfN7GsXJULvqGnu1sjHZECWj8G64DUvrbxVdd,1,3
8NDk8HSCEDvB9XncJEy6AtYiJFNfqYGTWCUPTH4xF4qh,1,0
6p99wNL7nhRhLgR5L5BC3rNT3WSkKpH26TBVmYPvKeFa,1,2
B2RzRUyAf6neBvjy1UZ84uwhY7LsBoEGHP3bX3JvLG9X,1,1
F9u2ToTQQDYTEzgDEfh9yyfnFuJK9JLZja4M9SyP14mH,1,1
YpEuA9RetRXD1N1ymrZCXR6PFXsJKNGbLSF6SPqUCCB,1,2
G8sHs8WGUk1qFTbPvqwnYD8CqeJ6aaYJ6NRgtLo3fidD,1,3
3S5XGtGF86yfoWbUbSQHugYvLSGsjPAY4wAWXdebhDXX,1,4
3gBd3pZKexo4waSY5r3pBM9AhvuT3m749yCV7qy5QBEy,1,2
7iSG5y8f4DHtUEPLcgWQnJso99JRB51opyaRoH8qWZ8r,2,4
2MEF5UorJwikcHg4r9wkngecrnP1tiH1pjkbk3mpfhGK,1,0
DrctKTeG1aDRiPBVAwS6v9CFnnSxmnJsyEiDtmGddhWy,1,2
8rjBZep7iTKBec3fHXh3KaK47gmujbvGQzVqZ18TeS5W,1,1
5HmXrqyzxT6pn8rmGWomfTTC6mnT5ZHc32jWSU4QSNAT,1,0
7RNNHvW1WnzaFekQ2tYuVomxsUiCq6DkpQq9Jaht7BWq,1,13
6T4sQTckrLQvyDA93CPw1e2GTS4oGUk439myAJ7tdztS,1,0
HQmb2kZpGEiwKnPAVDG2NmiRybjgG7pZ5nTN66c6b6zh,1,2
3cThpUeMfAAA1g7gS9UcHmexgkEEdpEfP1Y4eej3AiYB,1,0
4bYEdm4qq6jNkzqTzeF6CJCSgyi3QwdrpYogNeNxn4jK,1,0
FFAizpnj3We7CzRTopke7zsszVP7s2MavK3Mo2CA8eU5,5,8
ABDAKRTDRfDUbosQinqXs8NRH3AjeA4s2j2pFukzicFf,1,1
2wDzHcqt9XqhqPtGGDn9Am4LsETkJhAu5WTUeHn6eSSV,2,2
CviDTmbJPAvwVC3gxo3tyLPhd7bDEz37sUFsD5StGrBz,1,9
4khoEeQcJy6xy5ACGNsFqnyHnPtPnr8dtLd1dJoYLAxz,1,0
7QHqFwzeuqPRvPovEB4cqQoFksj6wRsTTJJAvdTiXiLR,1,1
GNdnLa2GtYBh6NJGtdAmhYS54bSTxKWe63QAuTDEuKSN,1,1
ERjJKCbohCjNR6UJ7PeHNZK9a4PnobcTEgqpRfjiXkg4,1,3
