owner,DGOD,SMB,FRG,RETARDIO
4DfNHG4mSBiN44pbekWbVtfanvgCDVsYHFuUMi843LaZ,1,0,0,0
87CmkDqGBdi63z1EEMEQyAHY1okHbfY35o9uo3Lx6BNF,22,0,0,0
BQSMoGyAVYeTKTafXkeadUj16jLGwCGFYxLbRzYU9mgE,1,0,0,0
97m46mVwfq9Qboxx4WHpUySrBqHdtoSQbuVxETaMPH97,1,0,0,0
6zepmfVUCybPdExWUybYcahsRJ3Ri9Q8kRcmoWeCiikx,1,1,0,0
DMh7e6qtVACYQbL3NMzjWby2hqip1MpRmBe6wofFzqEr,3,0,0,0
8YvfF69PrC3uCgUwzjSwEYZjnkjBrWnFC4cznnYnmc7,1,1,0,0
GFDmfhoPtZZATNxw8zyZPVYKkBZutf1zoZTbRbxDjh5E,4,0,0,0
9gLzYa7kuWckg9wKDwHJj3FYS93RtzjgsgB2s9heu3Ud,5,0,0,0
Emxc72YU1TYcTkD14boiNcPye6MHmzMXj3EPe8LBs7eZ,10,0,0,0
8GpgS9tYojV9iZcMp6fbfsf6zkJgbWuAdhPYzsSiNtYn,4,0,0,0
C38e9b36rFX4RBhWRjpngzudMUVMXHEvHencG3RYJxss,5,0,0,0
GB1MZs4fAb4AJFgDwUUDbVoxwub8KersrEAw9WSYkfyX,5,1,0,0
G648dNTTdcpucsjxe6Axbhop1jjQVh8Z2wARqwiSQs6B,1,0,0,0
DKf7QQxcMitjonPebWSqextg61trY9ZL2jbE98P6B2MQ,1,0,0,0
J17d78SSXhYiCNbxpc4k8GmfWtpXVqVX5guXybVuhTb,2,0,0,0
F3KLUHJTmwKxXBMeyGPoej1jXBoCvJAdsjS32sWkUewh,1,0,0,0
JCapwSzWyHkjuVrT5ZTyKwBHzV9oYrTNhZguAMc9PiEc,16,4,52,0
DdTB86QZSqUAbLr9NVLCmHYcXgGLYGxmqkvrpUa8HK9t,10,5,0,0
9qrXVPhUBQrSD55KR3GBUYeNPaksAHTs6JjTEJ2QVWeZ,3,0,0,0
4WNyLs5wugTFQc4aQHjMcw3VWPmPbT4M8SzK9Y2zuBsj,4,0,0,0
Aq71XpEAXGzq1qpBHqUPGioEEsyjnscjfVrhTGmEfDmN,10,0,0,0
HBZEKF4AswUUaz4PZ1p1ZnDmkTmDCPyrNd9WuDH1Jnfh,1,0,0,1
